n,p,t
50,1275,28
50,1275,26
50,1275,26
50,1275,26
50,1275,26
50,1275,25
50,1275,25
50,1275,25
50,1275,26
50,1275,25
50,1275,25
50,1275,25
50,1275,25
50,1275,26
50,1275,25
50,1275,26
50,1275,25
50,1275,26
50,1275,25
50,1275,25
50,1275,26
50,1275,25
50,1275,25
50,1275,25
50,1275,25
50,1275,40
50,1275,25
50,1275,26
50,1275,26
50,1275,26
50,1275,26
50,1275,26
50,1275,26
50,1275,25
50,1275,25
50,1275,25
50,1275,25
50,1275,25
50,1275,25
50,1275,25
50,1275,26
50,1275,25
50,1275,25
50,1275,26
50,1275,26
50,1275,25
50,1275,26
50,1275,25
50,1275,25
50,1275,26
100,5050,106
100,5050,100
100,5050,111
100,5050,103
100,5050,104
100,5050,114
100,5050,104
100,5050,102
100,5050,101
100,5050,102
100,5050,100
100,5050,100
100,5050,100
100,5050,100
100,5050,100
100,5050,100
100,5050,100
100,5050,100
100,5050,100
100,5050,100
100,5050,100
100,5050,100
100,5050,100
100,5050,100
100,5050,100
100,5050,100
100,5050,100
100,5050,100
100,5050,100
100,5050,103
100,5050,103
100,5050,100
100,5050,100
100,5050,100
100,5050,129
100,5050,100
100,5050,100
100,5050,101
100,5050,100
100,5050,100
100,5050,103
100,5050,101
100,5050,103
100,5050,100
100,5050,106
100,5050,131
100,5050,131
100,5050,104
100,5050,106
100,5050,113
200,20100,422
200,20100,413
200,20100,398
200,20100,405
200,20100,402
200,20100,399
200,20100,396
200,20100,415
200,20100,412
200,20100,398
200,20100,402
200,20100,413
200,20100,405
200,20100,475
200,20100,410
200,20100,407
200,20100,408
200,20100,452
200,20100,411
200,20100,394
200,20100,396
200,20100,407
200,20100,400
200,20100,396
200,20100,427
200,20100,395
200,20100,403
200,20100,553
200,20100,656
200,20100,598
200,20100,408
200,20100,410
200,20100,409
200,20100,409
200,20100,412
200,20100,410
200,20100,425
200,20100,413
200,20100,415
200,20100,431
200,20100,469
200,20100,409
200,20100,409
200,20100,408
200,20100,410
200,20100,412
200,20100,425
200,20100,409
200,20100,419
200,20100,625
300,45150,978
300,45150,928
300,45150,965
300,45150,916
300,45150,937
300,45150,918
300,45150,942
300,45150,912
300,45150,954
300,45150,911
300,45150,919
300,45150,909
300,45150,955
300,45150,884
300,45150,933
300,45150,885
300,45150,892
300,45150,911
300,45150,932
300,45150,913
300,45150,923
300,45150,919
300,45150,915
300,45150,885
300,45150,936
300,45150,890
300,45150,897
300,45150,887
300,45150,914
300,45150,884
300,45150,940
300,45150,892
300,45150,927
300,45150,887
300,45150,904
300,45150,890
300,45150,940
300,45150,890
300,45150,910
300,45150,905
300,45150,896
300,45150,895
300,45150,889
300,45150,891
300,45150,951
300,45150,885
300,45150,890
300,45150,888
300,45150,889
300,45150,888
500,125250,2589
500,125250,2464
500,125250,2580
500,125250,2562
500,125250,2686
500,125250,2500
500,125250,2589
500,125250,2564
500,125250,2784
500,125250,2473
500,125250,2446
500,125250,2400
500,125250,2477
500,125250,2543
500,125250,2500
500,125250,2420
500,125250,2486
500,125250,2422
500,125250,2462
500,125250,2397
500,125250,2578
500,125250,2457
500,125250,2520
500,125250,2375
500,125250,2717
500,125250,2409
500,125250,2479
500,125250,2419
500,125250,2429
500,125250,2421
500,125250,2487
500,125250,2657
500,125250,2430
500,125250,2376
500,125250,2481
500,125250,2423
500,125250,2608
500,125250,2390
500,125250,2494
500,125250,2378
500,125250,2587
500,125250,2380
500,125250,2429
500,125250,2477
500,125250,2576
500,125250,2549
500,125250,2562
500,125250,2657
500,125250,2557
500,125250,2391
750,281625,5597
750,281625,5704
750,281625,5702
750,281625,5752
750,281625,5683
750,281625,5645
750,281625,5772
750,281625,5482
750,281625,5554
750,281625,5414
750,281625,5866
750,281625,5647
750,281625,5570
750,281625,5400
750,281625,5690
750,281625,5421
750,281625,5701
750,281625,5785
750,281625,5814
750,281625,5672
750,281625,5712
750,281625,5494
750,281625,5639
750,281625,5433
750,281625,5707
750,281625,5873
750,281625,5846
750,281625,5548
750,281625,5874
750,281625,5568
750,281625,5827
750,281625,5705
750,281625,5719
750,281625,5642
750,281625,5868
750,281625,5361
750,281625,5533
750,281625,5407
750,281625,5796
750,281625,5520
750,281625,5875
750,281625,5516
750,281625,5619
750,281625,5385
750,281625,5811
750,281625,5406
750,281625,6075
750,281625,5663
750,281625,5724
750,281625,5469
1000,500500,9873
1000,500500,9760
1000,500500,9886
1000,500500,9612
1000,500500,9855
1000,500500,9887
1000,500500,10103
1000,500500,9671
1000,500500,9927
1000,500500,9773
1000,500500,9853
1000,500500,9837
1000,500500,9953
1000,500500,9602
1000,500500,9851
1000,500500,9883
1000,500500,10148
1000,500500,9640
1000,500500,9852
