n,m,c,tiempo greedy,conflictos greedy,tiempo busqueda local v1, conflictos busqueda local v1,tiempo busqueda local v2, conflictos busqueda local v2
2000,100,50,9314811,0,624,0,707,0
2000,100,50,4936817,0,517,0,287,0
2000,100,50,5055914,0,554,0,279,0
2000,100,50,5287935,0,604,0,198,0
2000,100,50,5283806,0,526,0,284,0
2000,120,50,5368741,0,780,0,157,0
2000,120,50,5142931,1,5895,1,3235,1
2000,120,50,9035017,0,814,0,305,0
2000,120,50,8730727,0,2320,0,541,0
2000,120,50,9547515,0,663,0,240,0
2000,144,50,8669249,0,1286,0,3328,0
2000,144,50,4759460,0,1307,0,235,0
2000,144,50,5012123,0,622,0,377,0
2000,144,50,4817292,0,781,0,895,0
2000,144,50,5042556,0,874,0,317,0
2000,172,50,5194438,0,1628,0,1249,0
2000,172,50,8871379,0,1649,0,1223,0
2000,172,50,4903653,0,640,0,477,0
2000,172,50,5801706,0,821,0,277,0
2000,172,50,5079206,0,790,0,400,0
2000,206,50,4987747,0,1052,0,752,0
2000,206,50,4793076,0,505,0,321,0
2000,206,50,8175895,0,570,0,492,0
2000,206,50,8539091,0,971,0,475,0
2000,206,50,8114028,0,519,0,1225,0
2000,247,50,8309421,0,787,0,1463,0
2000,247,50,9021266,0,1093,0,291,0
2000,247,50,4943305,0,3794,0,516,0
2000,247,50,5224227,0,746,0,719,0
2000,247,50,4759121,0,615,0,206,0
2000,296,50,4666041,1,5908,1,1443,1
2000,296,50,4665550,0,758,0,801,0
2000,296,50,4749984,0,563,0,214,0
2000,296,50,5115081,0,891,0,715,0
2000,296,50,5268640,0,1061,0,1201,0
2000,355,50,5224335,0,1741,0,1230,0
2000,355,50,5037622,0,1242,0,720,0
2000,355,50,5975617,0,969,0,887,0
2000,355,50,8288373,1,5368,1,4502,1
2000,355,50,7793832,0,501,0,280,0
2000,426,50,7711106,0,575,0,326,0
2000,426,50,7545037,0,548,0,367,0
2000,426,50,7611354,0,824,0,1121,0
2000,426,50,4713047,0,585,0,196,0
2000,426,50,4658138,0,557,0,166,0
2000,511,50,4701063,0,575,0,370,0
2000,511,50,5109700,0,533,0,263,0
2000,511,50,4873030,0,835,0,264,0
2000,511,50,4649774,0,1127,0,1076,0
2000,511,50,4719283,0,536,0,305,0
2000,613,50,4632054,0,714,0,636,0
2000,613,50,4539708,0,485,0,273,0
2000,613,50,4614552,0,1106,0,627,0
2000,613,50,7244500,0,657,0,266,0
2000,613,50,7220355,1,5052,1,2158,1
2000,735,50,6406087,0,559,0,207,0
2000,735,50,6336013,1,5423,1,2333,1
