n,m,c,tiempo greedy,conflictos greedy,tiempo busqueda local v1, conflictos busqueda local v1,tiempo busqueda local v2, conflictos busqueda local v2
500,124750,1,22466800,124750,8280422382,124750,8616479754,124750
500,124750,1,22050698,124750,8717960693,124750,9477747575,124750
500,124750,1,20948418,124750,9769690944,124750,7070340770,124750
500,124750,1,23655641,124750,8262137136,124750,10028910206,124750
500,124750,1,19883169,124750,10657606657,124750,8754840618,124750
500,124750,2,29850836,62250,6325227856,62250,5917777965,62250
500,124750,2,29403242,62331,3474473265,62331,4975705718,62331
500,124750,2,35809890,62250,5853177344,62250,5650779965,62250
500,124750,2,36010081,62254,6158204061,62254,4479535334,62254
500,124750,2,30785872,62250,5392038993,62250,6174690777,62250
500,124750,3,39538016,41799,3699370971,41617,4022473073,41617
500,124750,3,41688298,42981,3589968878,41417,4093395332,41417
500,124750,3,35339318,41950,3824946261,41502,3793028315,41502
500,124750,3,39138311,41950,2203944816,41531,3778065425,41531
500,124750,3,36106586,42077,2893208836,41951,3834160988,41951
500,124750,4,47017550,32221,2699145324,31000,2790866043,31000
500,124750,4,47856799,33161,2841659851,31000,3270721075,31000
500,124750,4,50822438,32254,2957835666,31002,3040854605,31002
500,124750,4,47110874,32785,2486287260,31036,2537578540,31036
500,124750,4,44096804,31792,2904828243,31113,3216998086,31113
500,124750,5,47555103,25783,2085872401,25017,2153815683,25017
500,124750,5,53674732,26950,2624142328,24793,2116845883,24793
500,124750,5,49067547,26163,1993392094,24750,2192760602,24750
500,124750,5,52909678,25791,2232396357,24756,2027416155,24760
500,124750,5,48859312,26115,1948370962,24754,2133570537,24754
500,124750,6,56819595,21930,1873786603,20672,1640257195,20672
500,124750,6,52527630,21457,1603635125,20632,1594651298,20632
500,124750,6,57966376,21970,1797676324,20592,1932122143,20592
500,124750,6,76253505,22383,1692503651,20584,1714252589,20584
500,124750,6,60340054,22529,1989182031,20585,1962602416,20585
500,124750,8,68725600,17391,1182890086,15452,1492311023,15452
500,124750,8,95987583,16586,1929178797,15382,1441367280,15382
500,124750,8,72198766,16910,1350753840,15397,1453428625,15397
500,124750,8,70403662,16243,1212095468,15377,1263347677,15377
500,124750,8,70339771,17082,1388181641,15376,1447905468,15376
500,124750,10,79454920,14074,1535944566,12266,845241098,12266
500,124750,10,83271835,13743,1048483811,12280,1161455855,12280
500,124750,10,78216782,14223,1149096342,12513,1123978677,12513
500,124750,10,81674617,13910,1023876370,12250,1027172465,12250
