### TEST INCREMENTANDO NODOS (grafos completos)
Vamos aumentando la cantidad de nodos, manteniendo la cantidad de colores en 50. La cantidad de aristas para cada caso es máxima (grafo completo).
===========================
n,m,c,tiempo greedy,conflictos greedy,tiempo busqueda local v1, conflictos busqueda local v1,tiempo busqueda local v2, conflictos busqueda local v2
100,4950,50,76895260,70,17104339,62,9863815,61
110,5995,50,84602352,84,3737724,78,3400963,76
121,7260,50,23074875,114,4501335,95,2881949,93
133,8778,50,17908112,148,3752748,130,3591615,131
146,10585,50,16595197,190,7282845,159,5016744,159
160,12720,50,29695401,217,10152180,189,10248972,189
176,15400,50,26779764,278,8552715,234,8758383,233
193,18528,50,34257904,348,14659137,287,10927958,287
212,22366,50,42877133,424,15565762,358,15559097,356
233,27028,50,51232480,521,20462450,441,22222760,443
256,32640,50,57690165,706,32843217,554,46866988,554
281,39340,50,79814400,750,33507401,661,37039701,661
309,47586,50,94190830,968,54192351,809,53279946,810
339,57291,50,134240254,1200,80862663,988,94579324,988
372,69006,50,150430713,1510,118046155,1210,123854921,1210
409,83436,50,202204149,1810,160115426,1482,165476062,1482
449,100576,50,247743760,2142,173876056,1804,166407006,1803
493,121278,50,282510806,2645,239984850,2206,234862194,2205
542,146611,50,325169082,3474,345477294,2786,362339249,2789
596,177310,50,424441010,3847,449830599,3265,443974606,3266
655,214185,50,544375377,5036,611826754,4012,605952546,4009
720,258840,50,592384644,6132,853148877,4862,854816829,4857
792,313236,50,876252413,7140,1376536637,5899,862750276,5900
871,378885,50,993421748,8552,1554116538,7159,1677634564,7159
958,458403,50,1238266441,10507,1977143652,8813,1999648715,8812
1053,553878,50,2024824463,12740,2733912514,10565,2760604272,10565
1158,669903,50,1703495330,16271,3838791902,12846,3778384574,12846
1273,809628,50,1990361429,19146,3796116606,15597,4968997134,15597
1400,979300,50,2574459818,24117,7064373486,18960,6946681676,18959
1540,1185030,50,3624318533,29088,9666821915,22983,7584713008,22983
1694,1433971,50,3751809666,34807,10624363882,27979,10302620387,27973
1863,1734453,50,5237132507,42152,12078040917,33860,12727753150,33861
2049,2098176,50,6381616974,52471,17263390610,41124,16438893167,41121
2253,2536878,50,7999985695,59485,23098398111,49681,21678846558,49674
2478,3069003,50,8927401843,74667,29350536037,60177,28438032642,60177
2725,3711450,50,11907863007,91424,40899671996,72977,36232572730,72979
===========================
### TESTS INCREMENTANDO ARISTAS
Vamos aumentando la cantidad de aristas, manteniendo la cantidad de colores en 50 y la cantidad de nodos en 2000.
===========================
n,m,c,tiempo greedy,conflictos greedy,tiempo busqueda local v1, conflictos busqueda local v1,tiempo busqueda local v2, conflictos busqueda local v2
2000,100,50,72821436,0,21885,0,5206,0
2000,100,50,22433171,0,7600,0,7062,0
2000,100,50,6542194,0,6778,0,2865,0
2000,100,50,6520926,0,6129,0,4342,0
2000,100,50,4936787,0,3388,0,1678,0
2000,120,50,4574542,0,3729,0,2060,0
2000,120,50,4978118,0,4310,0,3985,0
2000,120,50,4615215,0,5703,0,2982,0
2000,120,50,8110434,0,5373,0,3257,0
2000,120,50,6921649,0,4894,0,2085,0
2000,144,50,7287850,0,5561,0,3847,0
2000,144,50,7210723,0,4090,0,3773,0
2000,144,50,4507470,0,4004,0,1380,0
2000,144,50,4532310,0,3533,0,1067,0
2000,144,50,4523074,0,5143,0,4455,0
2000,172,50,4802682,1,170910,1,27622,1
2000,172,50,6077733,0,4791,0,4262,0
2000,172,50,4412886,0,2858,0,1657,0
2000,172,50,4567342,0,8029,0,2703,0
2000,172,50,4588180,0,3949,0,1478,0
2000,206,50,4521627,0,4709,0,2309,0
2000,206,50,5016697,0,5134,0,12835,0
2000,206,50,4841784,0,10542,0,4168,0
2000,206,50,4651588,0,5812,0,3257,0
2000,206,50,4705387,0,7618,0,4265,0
2000,247,50,4422006,0,4513,0,1826,0
2000,247,50,4389200,0,4775,0,2468,0
