n,m,c,tiempo greedy,conflictos greedy,tiempo busqueda local v1, conflictos busqueda local v1,tiempo busqueda local v2, conflictos busqueda local v2
100,4950,50,83170196,74,20507877,64,13320098,64
110,5995,50,76514558,90,4933643,77,4636252,78
121,7260,50,31182591,102,3162199,94,2526835,94
133,8778,50,23348934,143,4638718,127,3630836,126
146,10585,50,16891001,177,8399930,148,4890820,148
160,12720,50,23954133,219,7114156,191,7438420,191
176,15400,50,24938843,268,8831987,238,9228936,237
193,18528,50,30660525,349,13618298,291,12134420,292
212,22366,50,41423992,426,17316127,356,14593008,358
233,27028,50,52634069,558,23581451,444,25308357,442
256,32640,50,62517370,674,31583442,533,27549631,535
281,39340,50,74154411,810,37335779,667,37871345,668
309,47586,50,91284125,1048,60717914,816,57421162,816
339,57291,50,128831036,1263,75417508,1031,76474890,1030
372,69006,50,146358175,1517,102842517,1211,102804046,1209
409,83436,50,167243343,1761,137209347,1492,136704410,1491
449,100576,50,503004722,2127,214726963,1810,215706551,1811
493,121278,50,255877437,2586,217032275,2209,237713203,2210
542,146611,50,370758890,3506,335477447,2713,324579896,2713
596,177310,50,434502144,4108,525112919,3262,526584962,3264
655,214185,50,481238978,4822,625020201,3979,625238689,3981
720,258840,50,627064612,5963,829758767,4851,791657448,4855
792,313236,50,1183095638,7250,1342879217,5896,1005543412,5896
871,378885,50,1009225214,8773,1623230064,7191,1622551924,7189
958,458403,50,1313888084,10607,2200743950,8711,2115116705,8711
1053,553878,50,1810149064,13101,3016503818,10569,3030546873,10568
1158,669903,50,2114524995,15671,3544228671,12905,3953985876,12903
1273,809628,50,2352363968,19925,5030072177,15616,5337210846,15616
1400,979300,50,2516903741,24192,5173411811,18976,7558205594,18976
1540,1185030,50,3150200959,28687,9295850912,22959,6217837039,22959
1694,1433971,50,4477368997,35678,11762743421,27875,11300673428,27876
1863,1734453,50,4379502405,41111,13638724043,33816,12584729815,33816
2049,2098176,50,6276932376,51700,16230971649,41002,16066630335,41002
2253,2536878,50,6977919429,61409,23307582929,49846,19796344586,49845
2478,3069003,50,7996486538,75522,30895168625,60353,28442647604,60353
2725,3711450,50,10302418895,91780,35296431256,72915,36485022654,72917
2997,4489506,50,12331439224,107269,49886234187,88325,49371263572,88325
