### TESTS VECINDAD 1
Vamos aumentando la cantidad de nodos, manteniendo la cantidad de colores en 50. La cantidad de aristas para cada caso es máxima (grafo completo).
===========================
n,m,c,tiempo greedy,conflictos greedy,tiempo busqueda local v1, conflictos busqueda local v1
100,4950,50,60477038,60,14794671,56
110,5995,50,55817687,87,5473298,81
121,7260,50,21406589,120,4993835,96
133,8778,50,18078844,145,3585481,132
146,10585,50,17860885,173,4962835,148
160,12720,50,22533740,214,12751374,182
176,15400,50,24268647,278,9749843,239
193,18528,50,34880250,329,10628659,282
212,22366,50,40616794,409,17278846,359
233,27028,50,49864775,500,23745082,440
256,32640,50,62183193,620,23846045,533
281,39340,50,75785591,798,44258575,657
309,47586,50,90881733,956,47868499,808
339,57291,50,121623834,1104,73778215,985
372,69006,50,144069174,1467,90483659,1206
409,83436,50,151220198,1844,141398992,1544
449,100576,50,226269583,2146,179914299,1809
493,121278,50,251955850,2628,209580821,2201
542,146611,50,329017888,3262,224741161,2721
596,177310,50,391383885,4116,422975536,3302
655,214185,50,519955565,4752,538985822,3996
720,258840,50,597450418,6110,557350053,4858
792,313236,50,762908847,6988,1122088837,5883
871,378885,50,939929000,8336,1364825261,7218
958,458403,50,1147618491,10605,1904020112,8763
1053,553878,50,1428126719,13021,2569223623,10564
1158,669903,50,1715311311,16118,3365699721,12902
1273,809628,50,2365472050,19301,4858319643,15579
1400,979300,50,2459843493,23154,5139110916,18932
1540,1185030,50,2997569429,28292,7939574744,22987
1694,1433971,50,4547740651,33984,11446110085,27963
1863,1734453,50,5018024864,43190,11958998453,33799
2049,2098176,50,6081908420,51272,15869139567,40976
2253,2536878,50,7685980262,61063,19846320262,49640
2478,3069003,50,8424377508,77682,26937605380,60254
2725,3711450,50,12255196014,92678,34540386132,73024
2997,4489506,50,12254457555,109860,46094334705,88466
3296,5430160,50,15588534036,132724,54233654895,107183
3625,6568500,50,19324014626,166597,78617373682,129642
3987,7946091,50,23226941215,191161,99791500091,157083
4385,9611920,50,29113499012,236046,133285923039,190146
4823,11628253,50,34288586076,295240,207714518271,230348
===========================
### TESTS VECINDAD 1
Vamos aumentando la cantidad de aristas, manteniendo la cantidad de colores en 50 y la cantidad de nodos en 2000.
===========================
n,m,c,tiempo greedy,conflictos greedy,tiempo busqueda local v1, conflictos busqueda local v1
2000,100,50,9112853,0,2097,0
2000,100,50,4833516,0,1174,0
2000,100,50,5025682,0,1282,0
2000,100,50,4912333,0,1112,0
2000,100,50,5190204,0,1405,0
2000,120,50,4889027,1,5455,1
2000,120,50,4663264,0,1125,0
2000,120,50,10377913,0,1408,0
2000,120,50,5302016,1,5105,1
2000,120,50,5792086,0,1116,0
2000,144,50,5127072,0,1047,0
2000,144,50,5315838,0,1253,0
2000,144,50,5126422,0,1164,0
2000,144,50,5245453,0,1227,0
2000,144,50,5500209,0,860,0
2000,172,50,5174455,0,1229,0
2000,172,50,5125488,0,1074,0
2000,172,50,5074135,0,1159,0
2000,172,50,5003442,0,1194,0
2000,172,50,5464251,0,1629,0
2000,206,50,5084445,0,1124,0
2000,206,50,5122669,0,1126,0
2000,206,50,5106442,0,1193,0
2000,206,50,5027554,0,1121,0
2000,206,50,4743810,0,1529,0
2000,247,50,5084488,0,1231,0
