Vamos aumentando la cantidad de nodos, manteniendo la cantidad de colores en 50. La cantidad de aristas para cada caso es máxima (grafo completo).;;;;;;
===========================;;;;;;
n;m;c;tiempo greedy;conflictos greedy;tiempo busqueda local v1; conflictos busqueda local v1
100;4950;50;69654609;65;14978046;59
120;7140;50;34904707;103;8239091;96
144;10296;50;22793112;184;8601597;156
172;14706;50;25318668;255;7567620;233
206;21115;50;52850954;430;22096144;342
247;30381;50;67437681;629;27689382;511
296;43660;50;113706947;910;45313446;777
355;62835;50;191536701;1323;94898730;1101
426;90525;50;226770949;1903;158387761;1610
511;130305;50;295900634;2853;270395807;2360
613;187578;50;464888239;4257;457323611;3502
735;269745;50;701735741;5922;875077385;5061
882;388521;50;1086529437;9333;1673603855;7360
1058;559153;50;1575492326;12930;2801985156;10681
1269;804546;50;2327559174;19372;4910939013;15512
1522;1157481;50;3150013683;28793;7690606710;22412
1826;1666225;50;5470337886;40393;9543612444;32446
2191;2399145;50;7116370317;59109;18882908547;47055
2629;3454506;50;10402955742;84398;28215131002;67872
3154;4972281;50;15824616528;122939;42223559053;98335
3784;7157436;50;22617821238;175558;82664537185;141355
4540;10303530;50;33486563149;257869;1,40944E+11;203953
5448;14837628;50;45293711744;372393;2,59964E+11;294344
6537;21362916;50;64941059460;532485;9,86516E+11;424420
